field id candels_id lwa lwa_hci lwa_modality Av Av_hci Av_modality Z Z_hci Z_modality lmass lmass_hci lmass_modality zgrism z_50 z_50_hci z_50_modality t_50 t_50_hci t_50_modality log_ssfr log_ssfr_hci log_ssfr_modality
GND 12078 8758 1.4173001321259584 "[1.2408923459070103, 1.6393306216773929]" [0.] 0.2707194942766509 "[0.16922023342214415, 0.3580560675700637]" [0.] 0.7535708289401251 "[0.6427262520689969, 0.8671865202330316]" [0.] 10.797065911967628 "[10.770714354486511, 10.821257505720784]" [0.] 1.0163709233907974 2.117354709965722 "[1.82697075 2.29569572]" [0.] 2.6923081360655177 "[2.2156018847194408, 2.9359331232250536]" [0.] -11.18967997549752 "[-11.680079897567882, -10.765065408826837]" [0.]
GND 12793 9306 2.711068331059576 "[2.454791254460413, 2.939315102405706]" [0.] 0.1354897741480348 "[0.07759983419713681, 0.22743261995240213]" [0.05991303] 1.4177126430307174 "[1.1944661848436977, 1.577536811960061]" [0.1049262] 10.86441548731824 "[10.837165363620215, 10.88423375909862]" [0.] 0.9525748596200346 2.7563857923083828 "[2.46785339 2.95693033]" [0.] 3.701907600112352 "[3.406097639031712, 3.8769403971798977]" [0.] -11.437058296742709 "[-11.650481761209987, -11.250996814899441]" [0.]
GND 13182 9681 2.7148600567963026 "[2.4381404669329747, 3.2406272775366247]" [0.] 0.17151852386422284 "[0.11569269961542136, 0.2413008041752247]" [0.] 0.8946228254336492 "[0.6516357102494938, 0.9647152625060016]" [0.] 10.465979999251381 "[10.44008321536899, 10.50482517507497]" [0.] 0.9687141142088838 3.369077891763542 "[2.30477671 3.75827077]" [0.] 4.107601757717818 "[3.142472208329984, 4.332632923836105]" [0.] -12.002072940039444 "[-12.484274803305428, -11.67643012328839]" [0.]
GND 14158 10492 1.9921881869961973 "[1.823399202374541, 2.1660919893336614]" [0.36668095] 0.0014707817236648646 "[0.0014707817236648646, 0.01739946409891359]" [0.] 0.8239951511233911 "[0.7544230763540225, 1.042650243255692]" [0.] 10.575848287287492 "[10.552230186245742, 10.59651412569902]" [0.38685114] 0.9108586496973773 1.97747580928647 "[1.56487319 2.00871538]" [0.16263241] 2.922310540437194 "[2.1195665136683326, 2.9725906707659844]" [0.16263241] -11.359169454772033 "[-11.603227384849555, -11.13213882214178]" [0.]
GND 17436 12449 2.2332249545382066 "[2.030126556956171, 2.5734147704881147]" [0.] 0.0014613948810399337 "[0.0014613948810399337, 0.05211225821095711]" [0.] 0.7702351928445735 "[0.6613905628015446, 0.9829769697468576]" [0.45212105] 10.332417441019716 "[10.298292104932647, 10.356505913551764]" [0.] 0.9104501184408358 2.11377307438139 "[1.78272413 2.33273709]" [0.] 3.134714652942488 "[2.580154274637027, 3.4302610591521603]" [0.] -11.827971108123368 "[-12.141934248224423, -11.557100948036185]" [0.]
GND 20432 14763 2.555351884519974 "[2.354219840189475, 2.7503890184162154]" [1.29960389] 0.1928914104264658 "[0.14370017474255065, 0.3188209737772886]" [0.18832392] 1.3928810331147277 "[1.2016699388573366, 1.484205734849601]" [0.] 10.938348714529209 "[10.921509543687662, 10.975265358297218]" [0.17802226] 1.1492622914518007 4.751293664555536 "[3.67727915 6.2383323 ]" [0.] 4.053014544796365 "[3.6006541196760065, 4.417425339067336]" [0.] -11.889634351020689 "[-12.169207505344694, -11.604579370141309]" [0.]
GND 22246 16579 3.573312252079478 "[3.2914514382163325, 3.75016609607204]" [0.26684716] 0.0014278313927940918 "[0.0014278313927940918, 0.015083719903173266]" [0.] 1.1060999379961878 "[1.0627462731175734, 1.1459853096845132]" "[0.7117991  0.46510498]" 11.048071228449146 "[11.031696969815613, 11.060851137626537]" [0.19915773] 0.9416172969648031 5.302486676072919 "[4.19799398 7.14238507]" [0.] 5.017536827276908 "[4.653276164286758, 5.365254014629976]" [0.] -12.165322549180221 "[-12.420034582934434, -11.910610515426004]" [0.]
GND 23104 17242 3.4228415105239205 "[2.907676188757904, 3.7196215328456477]" [0.] 0.4491660870843073 "[0.38062893871001724, 0.5135070835173142]" [0.] 0.7631289898056394 "[0.6032799599559923, 0.9623254731567381]" [0.0939016] 11.183786042587856 "[11.14534270540856, 11.204628815757355]" [0.] 0.9373624475467689 3.434925607267922 "[2.6329423  3.98362036]" [0.] 4.283041654689045 "[3.6479025036759065, 4.577297022481993]" [0.] -11.656182939067858 "[-11.886376105303032, -11.445172536685613]" [0.]
GND 23758 17890 3.469828849828247 "[2.994198239571039, 3.8443879554057983]" [0.] 0.4928764855312313 "[0.34762239647951454, 0.54569615427731]" [0.] 0.416782760373067 "[0.3588920675186006, 0.7448300198817097]" [0.] 11.187514038074545 "[11.151781430570306, 11.213420178515117]" [0.] 0.9409361989607705 3.2993893349048475 "[2.67982632 3.72141935]" [0.] 4.180390596308218 "[3.678964882596397, 4.431705441351696]" [0.] -11.97833086540409 "[-12.320304888211396, -11.691316953405103]" [0.]
GND 24177 18109 3.6613438863186456 "[3.217805080219488, 3.957036423718085]" [0.] 0.0013566476370239695 "[0.0013566476370239695, 0.04389525831694545]" [0.] 0.7955013110193784 "[0.7052534477656347, 0.875721633911595]" [0.] 10.956919537428668 "[10.92804100958168, 10.982251579399708]" [0.] 0.9372334623336535 3.7175492912772277 "[2.91068248 4.19289925]" [0.] 4.445713460859515 "[3.904643334519101, 4.670153556151889]" [0.] -12.248319442409567 "[-12.651204702410567, -11.969854630350051]" [0.]
GND 24795 18455 1.997273752930421 "[1.6364404600246802, 2.364550497495192]" [0.] 0.0015820778721616258 "[0.0015820778721616258, 0.07226234809830764]" [0.] 0.6838564877889093 "[0.5251508146386832, 0.9435566802165518]" [0.] 10.840364036980123 "[10.806436739854583, 10.873716295171334]" [0.] 0.8584563599970099 1.780344447222645 "[1.46832085 1.89900795]" [0.] 2.815386703940683 "[2.1274142383047154, 3.031921601190919]" [0.] -11.857979064997439 "[-12.318547896772209, -11.550933177147591]" [0.]
GND 26673 19888 2.4067997408882684 "[2.297539782830725, 2.511507200693414]" [0.] 0.07100523026599781 "[0.04207032190923855, 0.09746000362074914]" [0.] 1.3377896662820516 "[1.2879016014633065, 1.4259252474618351]" [0.] 10.71791047491976 "[10.700532929535429, 10.72808269660815]" [0.] 0.9416773144789368 2.1002316701806367 "[1.91095454 2.15030078]" [0.] 2.9773375141919676 "[2.6753318689814165, 3.0500157078052235]" [0.] -11.649178949304003 "[-11.821630959975266, -11.482673559690372]" [0.]
GND 27458 20689 3.945204432680441 "[3.1926945307803916, 4.438786196292302]" [0.0257616] 0.0014188871617623667 "[0.0014188871617623667, 0.017300975070798398]" [0.] 0.7710877070686393 "[0.6787901877289578, 0.9367499212680676]" [0.] 11.06753373855274 "[11.019420982259778, 11.107194253875313]" [0.] 0.8505726736904912 3.4606376348580317 "[2.7762229  3.97398566]" [0.] 4.69497246177966 "[4.181931873953818, 4.968947079010395]" [0.] -12.324287872754331 "[-12.704852848504714, -12.033674618544948]" [0.]
GND 27951 21095 4.940358383349592 "[4.732450920080542, 5.415575442250278]" [0.0737561] 0.08580009795115703 "[0.06290891669909002, 0.13278725946855774]" "[0.17180291 0.15379092]" 1.0192892319962956 "[0.921054518223288, 1.0624166673112745]" [0.19797916] 11.187002226437322 "[11.172601271288624, 11.214142488063711]" [0.0646433] 0.9431862505354363 8.156410604026593 "[6.7427524  9.75089091]" [0.] 5.478445434674401 "[5.30022135841595, 5.611871354705777]" [0.] -11.982123163549176 "[-12.21839119569529, -11.774785910849523]" [0.]
GND 30358 22278 2.238402207420856 "[1.7713736037860301, 2.46386429193422]" [0.] 0.03398689687243016 "[0.006157191844595424, 0.09376922619148254]" [0.65325402] 0.6932735504027545 "[0.4799248141561032, 0.8611078895834534]" [0.] 10.594136065708469 "[10.565815338814748, 10.618916701740474]" [0.] 1.103873890851956 2.5123476438579155 "[2.18446282 2.75141221]" [0.] 2.8592563697471243 "[2.454854762247198, 3.1009510750028046]" [0.] -12.195396630719213 "[-12.92233318403862, -11.872313718132812]" [0.]
GND 33453 27143 2.6237633299691847 "[2.114534608041984, 3.106190540216007]" [0.] 0.1805032670212722 "[0.11675320516175079, 0.2642890626080717]" [1.35982969] 0.20952187747981818 "[0.150943687243206, 0.4584791859854199]" "[0.82893945 0.12729179]" 10.623196619057484 "[10.575291520204246, 10.66098092237835]" [0.] 0.9389176216188193 3.2859233965663277 "[2.37021758 5.61540632]" [0.] 4.180109103837462 "[3.3507512279756657, 5.105581208899034]" [0.] -11.980591088792025 "[-12.49525877963372, -11.515960534559941]" [0.]
GND 36102 25176 2.545875535355851 "[2.1900063945382806, 2.9664481563220715]" [0.18333892] 0.0020155235218757865 "[0.0020155235218757865, 0.06677067721940769]" "[0.20014815 1.86860799]" 0.16273324473690967 "[0.10673966921674707, 0.45448924349986214]" [0.33286984] 10.452268156412199 "[10.381923357427233, 10.480152581235068]" [0.] 0.8600930838512661 2.347324467096005 "[1.9960618  2.65651357]" [0.] 3.680328694837007 "[3.1862292640965117, 4.022254998777639]" [0.] -11.6090365358667 "[-11.993199103535716, -11.269692934425738]" [0.]
GND 36161 25239 2.1918073958674897 "[2.007087116284091, 2.9383851925170617]" [0.04633753] 0.0016684805929057414 "[0.0016684805929057414, 0.04258965494778359]" [0.29653093] 1.243602975061547 "[1.1269393493048445, 1.3830302351122405]" "[0.08789912 0.57709871]" 10.73068800815307 "[10.686896444617721, 10.773749712296166]" [0.] 0.9814005356293015 2.6492277597672835 "[1.98516286 3.07281788]" [0.] 3.4774140379616565 "[2.63106488658994, 3.8472849356219916]" [0.] -11.733084762231112 "[-12.125526680326754, -11.392968433214886]" [0.]
GND 37189 24654 1.17510968279446 "[1.0465323591435691, 1.5858428000125837]" [0.] 0.0015472000487915427 "[0.0015472000487915427, 0.10546570855164639]" [0.] 0.28939363883992136 "[0.13675994923044565, 0.48605627737520746]" [0.] 10.557778464026633 "[10.520984590731855, 10.608292086685564]" [0.] 1.5884726373344975 3.053715944442431 "[2.31963334 3.67389797]" [0.] 1.9627224871014182 "[1.2384226201851076, 2.3649567842488795]" [0.] -11.918145975725732 "[-12.60328597196218, -11.507061977983863]" [0.]
GND 37210 24507 3.3055311082661305 "[3.10421596529564, 3.5556499222597706]" [0.] 0.0013193114558887283 "[0.0013193114558887283, 0.01726882521023275]" [0.] 0.9411104390558185 "[0.8415588724475336, 1.0293920169914672]" [0.] 11.123027425447367 "[11.103095497036565, 11.144008402721894]" [0.] 1.0397717713212908 3.4053736714702607 "[2.98674758 3.70635608]" [0.] 3.8435763062341053 "[3.5456734753713017, 4.018161729398916]" [0.] -12.182567013551237 "[-12.451063579468515, -11.95777919092282]" [0.]
GND 37232 23856 3.1342246997196055 "[2.8559043145437286, 3.3777550367484976]" [0.] 0.30100968067781003 "[0.24616437094180382, 0.35585499041381624]" [0.31208869] 0.9650054212168105 "[0.8918389640839541, 1.0930467211993093]" [0.] 11.379853662634993 "[11.371153422808666, 11.403664845317575]" [0.] 0.7972909404184836 2.1747143572275713 "[1.94754589 2.28928191]" [0.] 3.762554000272407 "[3.4154252726536587, 3.916016088288697]" [0.] -11.668145549493085 "[-11.894132657753264, -11.458300377537203]" [0.]
GND 37340 24345 4.029007627954436 "[3.8982411310704794, 4.128073155896827]" [0.] 0.01527456484359494 "[0.003840425555839137, 0.024421876273799582]" [0.] 0.9467150521775389 "[0.881287682106823, 1.01941213003389]" [0.] 11.010451253087762 "[10.999824911305922, 11.021077594869599]" [0.] 0.9447703172858831 3.7725062140554364 "[3.52441804 3.97247801]" [0.] 4.441877644360737 "[4.3050149607869646, 4.540047445780359]" [0.] -12.304950221340246 "[-12.54345927898008, -12.10818024878738]" [0.]
GND 37686 24217 2.388270777585368 "[2.2444408412077506, 2.763255968855587]" [0.3346082] 0.029042576192235135 "[0.002244934958334442, 0.08613320316880618]" [1.29704561] 0.43357487775927994 "[0.3435716732150415, 0.7035844913919952]" [0.47944449] 11.108625505925682 "[11.081638294593724, 11.137861651535303]" [0.] 1.2585364491979156 3.5492751197289545 "[2.85259222 3.75337328]" [0.] 3.1706436772234334 "[2.6732366513180983, 3.283030880021957]" [0.] -12.299846544437976 "[-12.935691916010581, -11.97556540493595]" [0.]
GSD 19148 10391 3.028024188300944 "[2.6842696491209965, 3.242870775288412]" [0.] 0.1813530148533279 "[0.11107092781735775, 0.2395435600336472]" [0.] 0.7216928036103863 "[0.6518383335581849, 0.8117683044671724]" [0.] 11.390852184780087 "[11.369419004760076, 11.40652719703353]" [0.] 0.9819184955602127 2.9672564514816187 "[2.64730046 3.15075255]" [0.] 3.7619617695904117 "[3.4733455109285907, 3.9032384098300703]" [0.] -12.46053378211462 "[-12.802074031360391, -12.213211532660786]" [0.]
GSD 32799 18048 2.3497696185313917 "[2.1533069065638473, 2.546232330498936]" [0.26705124] 0.10297017462052892 "[0.0734352578592462, 0.14431905808632473]" [0.62715701] 1.1992961426555209 "[1.0434584197019554, 1.2819373593733208]" [0.] 10.680945108178019 "[10.654753884147713, 10.706622778795968]" [0.] 1.1020827900730812 3.065927466164667 "[2.76773713 3.93361513]" [0.42245973] 3.373467066168438 "[3.122611188330674, 3.8984250196860337]" [0.42245973] -12.14505676130054 "[-12.445634335934022, -11.890721890456822]" [0.]
GSD 35774 20067 2.3850104859427237 "[2.2443020693786195, 2.510084633999705]" [0.] 0.019882304101244884 "[0.007693777067069526, 0.03350477549238205]" [0.] 1.1835683300581035 "[1.111101004305834, 1.2583002597401316]" [0.3908396] 11.208491485535973 "[11.177512466679016, 11.2221874728201]" [0.] 1.2567704330937681 3.634643218936964 "[3.23915886 4.02499445]" [0.] 3.224617127425608 "[2.9794511066438947, 3.420796360019776]" [0.] -11.960267722413295 "[-12.446305296126301, -11.767023867804511]" [0.]
GSD 38191 20946 3.1128489263602845 "[2.739146720715501, 3.275744759590062]" [0.22114743] 0.20646533691259272 "[0.13646764201884146, 0.24255789834218322]" [0.54948933] 0.8225812400596356 "[0.6621287162424141, 0.9747344954035526]" [0.] 10.60190736515054 "[10.576172388202592, 10.619492932731639]" [0.] 0.9770055925780763 2.885250741759565 "[2.5735539  3.11839141]" [0.] 3.7138906317070135 "[3.418191923362112, 3.8998277719540404]" [0.] -11.858773383430478 "[-12.292803027366965, -11.578577031015783]" [0.]
GSD 39170 22002 4.1237422164776145 "[3.7733676057440926, 4.342726348186066]" [0.] 0.021168142079345798 "[0.010001116771156279, 0.046293949022772216]" [0.] 1.4171484438348365 "[1.3148310145933257, 1.5169079373453096]" [0.] 11.396621079013798 "[11.377919234791836, 11.414129188498187]" [0.] 1.018142320964341 6.4851271250257625 "[5.05641356 8.08405639]" [0.] 4.947784339138172 "[4.633018624404068, 5.160250636010958]" [0.] -12.794103471326054 "[-13.130702627568773, -12.530434132269257]" [0.]
